file path,ground truth,top1 pred,confidence,top2 pred,confidence,top3 pred,confidence,top4 pred,confidence,top5 pred,confidence
datasets\train\Crying\9q8mf6GUiiE_000009_000019.mp4,64,65,0.171545,32,0.112376,0,0.112189,37,0.106746,48,0.065036
datasets\train\Crying\9s4bfiyc9Yc_000195_000205.mp4,64,64,0.804239,65,0.138081,6,0.021359,17,0.006388,54,0.005544
datasets\train\Crying\a4xHx59uFgk_000003_000013.mp4,64,64,0.407371,0,0.174884,6,0.058751,65,0.05758,31,0.041839
datasets\train\Crying\a50yimv7Lqg_000026_000036.mp4,64,33,0.465836,48,0.170942,6,0.155917,32,0.075539,11,0.023254
datasets\train\Crying\Afhkn2h-wLE_000000_000010.mp4,64,64,0.399426,6,0.2478,65,0.155334,48,0.027742,33,0.024693
datasets\train\Crying\aMAJ-DRt6bU_000116_000126.mp4,64,14,0.438798,64,0.238644,33,0.076192,65,0.069918,66,0.03437
datasets\train\Crying\a_yBdlVHrK8_000000_000010.mp4,64,64,0.848243,65,0.126175,54,0.004021,6,0.003002,66,0.002753
datasets\train\Crying\fKrcKrs-o_w_000000_000010.mp4,64,64,0.574937,14,0.085444,65,0.069877,37,0.028107,4,0.025468
datasets\train\Crying\fLzGu07zA-I_000008_000018.mp4,64,64,0.901973,65,0.062296,4,0.010307,17,0.00481,54,0.004449
datasets\train\Crying\FM06rkKxFms_000010_000020.mp4,64,64,0.571975,65,0.219874,6,0.113197,48,0.015816,5,0.011259
datasets\train\Crying\G6QENvmNkRE_000000_000010.mp4,64,6,0.370272,64,0.151623,33,0.114276,65,0.0812,0,0.043513
datasets\train\Crying\Ga9lFu4gurw_000015_000025.mp4,64,64,0.744828,65,0.134757,54,0.053605,6,0.02474,4,0.010641
datasets\train\Crying\GnIgOUPiMqE_000023_000033.mp4,64,64,0.825808,65,0.077375,4,0.018598,37,0.013015,6,0.012303
datasets\train\Crying\gpaANcmFUOI_000003_000013.mp4,64,64,0.791202,65,0.115379,6,0.022104,0,0.010759,48,0.009262
datasets\train\Crying\G_-Hx6u40nE_000032_000042.mp4,64,64,0.763471,65,0.101376,0,0.019901,54,0.019347,6,0.01698
datasets\train\Crying\H85OllZBK70_000013_000023.mp4,64,64,0.584448,65,0.261247,37,0.052957,48,0.015379,0,0.01456
datasets\train\Crying\Ha3vwLcjMAs_000157_000167.mp4,64,22,0.21834,65,0.20886,64,0.161901,17,0.141365,0,0.044041
datasets\train\Crying\l5UWczmUVeY_000019_000029.mp4,64,64,0.574947,65,0.24858,33,0.04956,14,0.024676,6,0.017708
datasets\train\Crying\oH_BDY4bWp4_000000_000010.mp4,64,64,0.853545,65,0.068211,54,0.013475,4,0.012658,17,0.011041
datasets\train\Crying\Oi7DvmU-tF0_000000_000010.mp4,64,64,0.89673,65,0.076085,54,0.009165,4,0.002635,17,0.002285
datasets\train\Crying\oNiWBhu1-JQ_000000_000010.mp4,64,64,0.750475,65,0.135057,14,0.024564,33,0.012598,6,0.011207
datasets\train\Crying\Pa4kyZAUTXQ_000017_000027.mp4,64,64,0.793071,65,0.132004,37,0.014318,14,0.011795,6,0.009631
datasets\train\Crying\pg4HbzuxCIE_000022_000032.mp4,64,64,0.702561,65,0.12689,6,0.041685,33,0.020587,66,0.016606
